timestamp,details-v1,productpage-v1,ratings-v1,reviews-v1,reviews-v2,reviews-v3
2024-03-06 05:49:19,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:49:24,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:49:29,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:49:34,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:49:39,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:49:44,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:49:49,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:49:54,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:49:59,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:50:04,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:50:09,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:50:14,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:50:19,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:50:24,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:50:29,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:50:34,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:50:39,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:50:44,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:50:49,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:50:54,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:50:59,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:51:04,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:51:09,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:51:14,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:51:19,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:51:24,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:51:29,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:51:34,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:51:39,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:51:44,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:51:49,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:51:54,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:51:59,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:52:04,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:52:09,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:52:14,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:52:19,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:52:24,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:52:29,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:52:34,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:52:39,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:52:44,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:52:49,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:52:54,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:52:59,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:53:04,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:53:09,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:53:14,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:53:19,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:53:24,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:53:29,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:53:34,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:53:39,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:53:44,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:53:49,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:53:54,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:53:59,1.0,1.0,1.0,1.0,1.0,1.0
