,timestamp,frontend-875b86bb8-wvlvq&cpu_usage,frontend-875b86bb8-wvlvq&cpu_limit,frontend-875b86bb8-wvlvq&mem_usage,frontend-875b86bb8-wvlvq&mem_usage_rate,frontend-875b86bb8-wvlvq&mem_limit,frontend-875b86bb8-wvlvq&fs_usage,frontend-875b86bb8-wvlvq&net_receive,frontend-875b86bb8-wvlvq&net_trainsmit,(node)192.168.31.101:9100_network,(node)192.168.31.101:9100_cpu,(node)192.168.31.101:9100_memory
679,1658461453,0.048770881,165.984375,132.4257813,4.761757596,0.018768235,0.045954945,30.40846892,53.94521271,0.8801111111111111,0.1647274781132837,0.2162181166235577
680,1658461458,0.048770881,165.8515625,132.4140625,5.648497212,0.019849452,0.071116848,30.40846892,53.94521271,0.8801111111111111,0.1647274781132837,0.2162181166235577
681,1658461463,0.045832965,166.3007813,132.2851563,7.068989794,0.018510153,0.044567383,30.00687812,64.6671971,0.8305777777777777,0.159307395961521,0.2163836424312231
682,1658461468,0.049638353,166.3007813,132.2851563,7.134716331,0.002511177,0.044567383,30.00687812,64.6671971,0.8305777777777777,0.159307395961521,0.2163836424312231
683,1658461473,0.049638353,167.3320313,132.2851563,6.264671405,0.002408907,0.0,30.00687812,64.6671971,0.8305777777777777,0.159307395961521,0.2163836424312231
684,1658461478,0.049127998,167.3320313,132.2851563,5.365494169,0.014307061,0.039520975,29.74118213,58.4797605,0.8007555555555554,0.155962007987978,0.2166014491341197
685,1658461483,0.049653579,168.9179688,132.4023438,4.3846671,0.01822407,0.039520975,29.40024707,57.20887696,0.8007555555555554,0.155962007987978,0.2166014491341197
686,1658461488,0.049653579,168.9179688,132.8320313,4.456724624,0.018496566,0.044872923,29.40024707,57.20887696,0.8007555555555554,0.155962007987978,0.2166014491341197
687,1658461493,0.048978566,169.09375,132.8320313,3.438488351,0.014159595,0.044872923,29.76920052,63.67125428,0.7929333333333333,0.1556503198294623,0.2165904586091059
688,1658461498,0.048978566,169.0976563,132.9882813,2.796127132,0.019436461,0.044872923,29.76920052,63.67125428,0.7929333333333333,0.1556503198294623,0.2165904586091059
689,1658461503,0.048778832,169.0976563,132.9882813,1.67615844,0.018984839,0.049414063,29.76920052,63.67125428,0.7929333333333333,0.1556503198294623,0.2165904586091059
690,1658461508,0.041236857,169.1210938,132.9882813,0.022335676,0.014449313,0.059245304,29.75754969,58.43313571,0.8061333333333334,0.1550854284138711,0.2166836048266257
691,1658461513,0.043985349,167.4375,132.8203125,1.278762035,0.017719463,0.040922619,29.91212354,58.42764852,0.8061333333333334,0.1550854284138711,0.2166836048266257
692,1658461518,0.04661931,167.4375,132.40625,2.890231422,0.014862161,0.040922619,29.91212354,58.42764852,0.8061333333333334,0.1550854284138711,0.2166836048266257
693,1658461523,0.046657033,164.6367188,132.53125,3.607595951,0.012201978,0.0,30.56074663,60.45011065,0.813911111111111,0.1569876675753354,0.2161280671838042
694,1658461528,0.0456803,162.3671875,132.8945313,3.696188131,0.0,0.0,29.51853247,58.63704462,0.813911111111111,0.1569876675753354,0.2161280671838042
695,1658461533,0.045794435,162.3671875,132.8945313,3.696188131,0.0,0.0,29.51853247,58.63704462,0.813911111111111,0.1569876675753354,0.2161280671838042
696,1658461538,0.044893334,162.53125,132.6484375,4.958912663,0.015422238,0.038915605,29.51853247,58.63704462,0.8100888888888889,0.1569333276867645,0.2161420330443189
697,1658461543,0.044690075,162.53125,132.8984375,5.40666633,0.015422238,0.038915605,28.43352424,57.14096493,0.8100888888888889,0.1569333276867645,0.2161420330443189
698,1658461548,0.044617913,162.828125,132.8984375,4.906880574,0.015801601,0.053372154,28.43352424,57.14096493,0.8100888888888889,0.1569333276867645,0.2161420330443189
699,1658461553,0.04468435,162.9375,133.0195313,4.195489772,0.015518087,0.049414062,27.50565124,56.47714502,0.7867999999999999,0.156615966362672,0.2163733198386688
700,1658461558,0.04468435,162.1210938,133.1367188,3.110905616,0.015518087,0.055593426,28.54303281,57.30755556,0.7867999999999999,0.156615966362672,0.2163733198386688
701,1658461563,0.041766485,161.421875,133.1367188,3.293080579,0.015303897,0.049638274,28.54303281,57.30755556,0.7867999999999999,0.156615966362672,0.2163733198386688
702,1658461568,0.044677021,161.8671875,133.1367188,3.102197125,0.014881599,0.043683122,28.54303281,57.30755556,0.7898222222222222,0.155191411216418,0.2166891304496989
703,1658461573,0.043885257,162.2265625,133.2265625,2.864887806,0.014495069,0.043387534,23.69394002,47.62601603,0.7898222222222222,0.155191411216418,0.2166891304496989
704,1658461578,0.043083902,162.2265625,134.3007813,2.118959582,0.001957548,0.043387534,21.27301667,42.75983783,0.7898222222222222,0.155191411216418,0.2166891304496989
705,1658461583,0.043741536,162.9765625,134.3007813,1.902571486,0.0,0.043387534,18.85209331,37.89365962,0.8025333333333333,0.1554965465614063,0.2168191343947508
706,1658461588,0.041873165,164.0195313,135.6757813,0.518244949,0.0,0.0,31.01749706,59.74884751,0.8025333333333333,0.1554965465614063,0.2168191343947508
707,1658461593,0.04163133,161.3828125,135.6640625,1.565389744,0.001955249,0.0,31.01749706,59.74884751,0.8025333333333333,0.1554965465614063,0.2168191343947508
708,1658461598,0.043428434,161.3828125,135.6210938,2.998723022,0.002390505,0.0,30.38425274,60.7874164,0.8263777777777778,0.155740136458269,0.2169124627756686
709,1658461603,0.043428434,158.8007813,135.6210938,3.473986597,0.016512823,0.0,30.3240954,61.50140002,0.8263777777777778,0.155740136458269,0.2169124627756686
710,1658461608,0.039807513,158.8007813,135.7421875,2.964390075,0.017452552,0.046267872,30.3240954,61.50140002,0.8263777777777778,0.155740136458269,0.2169124627756686
711,1658461613,0.040000919,159.9296875,135.7421875,2.786514649,0.016587326,0.059781796,29.57239481,60.28483409,0.7962444444444444,0.1554000677124695,0.2169723338124838
712,1658461618,0.041288254,160.9023438,135.7421875,3.36991852,0.016587326,0.041734485,17.68178761,38.9131936,0.7962444444444444,0.1554000677124695,0.2169723338124838
713,1658461623,0.04232503,160.8984375,134.5351563,4.189854426,0.017616955,0.041734485,19.9697444,43.94841442,0.7962444444444444,0.1554000677124695,0.2169723338124838
714,1658461628,0.039200629,160.921875,133.3203125,4.820354405,0.022266614,0.041734485,22.69413098,48.45717595,0.7637111111111111,0.1531134910891237,0.2169492597820682
715,1658461633,0.042267632,160.921875,133.3203125,5.776675054,0.014420635,0.068526006,27.81882156,59.399566,0.7637111111111111,0.1531134910891237,0.2169492597820682
716,1658461638,0.041849409,161.2148438,133.3203125,5.183400086,0.01221976,0.042541425,27.81882156,59.399566,0.7637111111111111,0.1531134910891237,0.2169492597820682
717,1658461643,0.042112581,161.4453125,133.2773438,5.055020139,0.0,0.042541425,27.85176648,58.47158215,0.7338222222222222,0.1528302951632841,0.2168963716755104
718,1658461648,0.041370594,161.4140625,133.2773438,4.421432554,0.0,0.042541425,27.92832963,56.80102863,0.7338222222222222,0.1528302951632841,0.2168963716755104
719,1658461653,0.037964604,162.75,133.2773438,4.825262142,0.0,0.0,27.72652411,51.56899836,0.7338222222222222,0.1528302951632841,0.2168963716755104
720,1658461658,0.034971852,163.9375,133.734375,3.057379546,0.008914622,0.0,27.83807526,49.78849236,0.757311111111111,0.1533662667606591,0.2168720832224413
721,1658461663,0.041852444,163.875,133.734375,3.361082742,0.011510585,0.032231279,27.83807526,49.78849236,0.757311111111111,0.1533662667606591,0.2168720832224413
722,1658461668,0.041852444,164.0,134.7070313,1.816518693,0.013079169,0.04342779,27.51857842,51.11929748,0.757311111111111,0.1533662667606591,0.2168720832224413
723,1658461673,0.04105787,164.0,135.7773438,2.007695713,0.012143023,0.04342779,27.20788323,48.95482088,0.7447111111111111,0.1545517406826688,0.2169313470479298
724,1658461678,0.040614698,164.0234375,135.7773438,2.007695713,0.014678795,0.047698756,27.20788323,48.95482088,0.7447111111111111,0.1545517406826688,0.2169313470479298
725,1658461683,0.04038432,164.0234375,135.9414063,0.389117806,0.01427115,0.047698756,23.17794226,41.703796,0.7447111111111111,0.1545517406826688,0.2169313470479298
726,1658461686,0.04038432,164.0195313,135.9570313,0.396732287,0.01132758,0.047698756,27.01835434,50.32662735,0.7554222222222221,0.1550098786338597,0.2192497406145015
727,1658461691,0.035457008,164.0234375,135.7929688,0.422028906,0.01132758,0.03367645,27.01835434,50.32662735,0.7554222222222221,0.1550098786338597,0.2192497406145015
728,1658461696,0.042525072,164.5976563,135.8398438,0.413910182,0.013735175,0.0,21.85942473,40.71717725,0.7554222222222221,0.1550098786338597,0.2192497406145015
729,1658461701,0.042525072,164.6914063,135.9414063,0.409992589,0.013735175,0.0,26.04134198,54.1899541,0.7282666666666666,0.1551098241400589,0.2176091770519538
730,1658461706,0.041817219,164.6914063,135.9414063,0.646350786,0.001958447,0.0,26.04134198,54.1899541,0.7282666666666666,0.1551098241400589,0.2176091770519538
