,timestamp,checkoutservice-7d8cb45794-hc2rj&cpu_usage,checkoutservice-7d8cb45794-hc2rj&cpu_limit,checkoutservice-7d8cb45794-hc2rj&mem_usage,checkoutservice-7d8cb45794-hc2rj&mem_usage_rate,checkoutservice-7d8cb45794-hc2rj&fs_usage,checkoutservice-7d8cb45794-hc2rj&net_receive,checkoutservice-7d8cb45794-hc2rj&net_trainsmit,(node)192.168.31.101:9100_network,(node)192.168.31.101:9100_cpu,(node)192.168.31.101:9100_memory
5937,1658487643,0.234683226,0.2,168.5976563,4.130520272,0.004554934,25.96918892,28.8834992,0.7268222222222221,0.1744745041097294,0.2235361060909914
5938,1658487648,0.248058247,0.2,168.5117188,4.851928696,0.004361424,26.15467694,33.55515599,0.7268222222222221,0.1744745041097294,0.2235361060909914
5939,1658487653,0.273175002,0.2,168.5703125,3.911419511,0.003784782,26.15467694,33.55515599,0.7703111111111111,0.1675194880252271,0.2232347471095374
5940,1658487658,0.269574377,0.2,168.7695313,3.042549505,0.004764509,26.15467694,33.55515599,0.7703111111111111,0.1675194880252271,0.2232347471095374
5941,1658487663,0.237441026,0.2,172.8945313,2.811119744,0.004451128,25.65460262,33.48173864,0.7703111111111111,0.1675194880252271,0.2232347471095374
5942,1658487668,0.216389289,0.2,177.03125,2.016150808,0.00447502,25.65460262,33.48173864,0.7532888888888888,0.1532685263451626,0.2232413657129987
5943,1658487673,0.231476595,0.2,177.03125,2.035700581,0.005039903,25.65460262,33.48173864,0.7532888888888888,0.1532685263451626,0.2232413657129987
5944,1658487678,0.255601743,0.2,176.9023438,3.966685737,0.003892219,25.13945996,34.02498118,0.7532888888888888,0.1532685263451626,0.2232413657129987
5945,1658487683,0.241615755,0.2,176.9023438,3.436693683,0.002744612,25.13945996,34.02498118,0.7220666666666667,0.1527807102739345,0.2233187851571563
5946,1658487688,0.238680829,0.2,176.8359375,5.921320173,0.0,25.13945996,34.02498118,0.7220666666666667,0.1527807102739345,0.2233187851571563
5947,1658487693,0.227602914,0.2,176.7070313,5.320017847,0.0,20.42717567,24.55326691,0.7220666666666667,0.1527807102739345,0.2233187851571563
5948,1658487698,0.221208018,0.2,176.7851563,4.830050372,0.003994619,24.55664155,28.27550314,0.6873555555555555,0.1486857480747945,0.2233376694294175
5949,1658487703,0.208264938,0.2,176.7851563,4.877187917,0.004699196,24.55664155,28.27550314,0.6873555555555555,0.1486857480747945,0.2233376694294175
5950,1658487708,0.185967417,0.2,176.8085938,5.835307924,0.005324142,23.97073909,27.95817904,0.6873555555555555,0.1486857480747945,0.2233376694294175
5951,1658487713,0.192130164,0.2,176.8085938,5.763452635,0.004754776,19.37045463,22.59265501,0.670311111111111,0.1479670902485043,0.2234897758667623
5952,1658487718,0.193858931,0.2,176.8085938,4.978967749,0.004395042,23.49900049,26.4898047,0.670311111111111,0.1479670902485043,0.2234897758667623
5953,1658487723,0.192150908,0.2,176.8359375,5.071217759,0.004951278,23.77446195,25.34194776,0.670311111111111,0.1479670902485043,0.2234897758667623
