,timestamp,shippingservice-589dc45c5d-xdx28&cpu_usage,shippingservice-589dc45c5d-xdx28&mem_usage,shippingservice-589dc45c5d-xdx28&mem_usage_rate,shippingservice-589dc45c5d-xdx28&fs_usage,shippingservice-589dc45c5d-xdx28&net_receive,(node)192.168.31.101:9100_network,(node)192.168.31.101:9100_cpu,(node)192.168.31.101:9100_memory
3417,1658557472,0.3,21.13265562,2648.0,12.1249029,35.68061392,0.6068,0.1424162133212426,0.2275258488343758
3418,1658557477,0.3,19.23606195,2648.0,11.88222591,34.61271425,0.6106888888888887,0.1581595974119759,0.2275151619150255
3419,1658557482,0.3,18.55550775,2648.0,11.88222591,34.61271425,0.6106888888888887,0.1581595974119759,0.2275151619150255
3420,1658557487,0.3,15.26695906,2648.0,12.04770462,35.62391288,0.6106888888888887,0.1581595974119759,0.2275151619150255
3421,1658557492,0.3,7.858599817,2648.0,12.69063851,37.07155229,0.6582444444444444,0.1593430605486786,0.2276130443808937
3422,1658557497,0.3,7.858936816,2648.0,12.69063851,37.07155229,0.6582444444444444,0.1593430605486786,0.2276130443808937
3423,1658557502,0.3,12.6293784,2648.0,12.99974725,39.7425966,0.6582444444444444,0.1593430605486786,0.2276130443808937
3424,1658557507,0.3,8.596203991,2648.0,13.06851122,39.90406523,0.6578222222222222,0.1607492982383552,0.2267225689702503
3425,1658557512,0.3,8.906784907,2648.0,13.06851122,39.90406523,0.6578222222222222,0.1607492982383552,0.2267225689702503
3426,1658557517,0.3,6.838804645,2648.0,10.63395648,32.47027041,0.6578222222222222,0.1607492982383552,0.2267225689702503
3427,1658557522,0.3,6.423386409,2648.0,10.18592066,32.24976,0.7070444444444444,0.1484495085526855,0.2266748421599697
3428,1658557527,0.3,7.777453486,2648.0,13.74394279,42.9770758,0.7070444444444444,0.1484495085526855,0.2266748421599697
3429,1658557532,0.3,7.316795129,2648.0,13.74394279,42.9770758,0.7070444444444444,0.1484495085526855,0.2266748421599697
3430,1658557537,0.3,9.719106467,2648.0,13.60476438,44.01553841,0.7068,0.1496466206777666,0.226832595662653
3431,1658557542,0.3,7.658953335,2648.0,13.60476438,44.01553841,0.7068,0.1496466206777666,0.226832595662653
3432,1658557547,0.3,2.232062198,2648.0,10.87440154,35.18198664,0.7068,0.1496466206777666,0.226832595662653
3433,1658557552,0.3,1.186017033,2648.0,13.31169588,41.12069242,0.7292222222222222,0.1491442197795934,0.2269158443355471
3434,1658557557,0.3,6.005897111,2648.0,14.08122987,41.0295102,0.7292222222222222,0.1491442197795934,0.2269158443355471
3435,1658557562,0.3,8.972003765,2648.0,14.81890741,40.94210265,0.7292222222222222,0.1491442197795934,0.2269158443355471
3436,1658557567,0.3,9.395258285,2648.0,14.81890741,40.94210265,0.7528444444444444,0.1486801736205104,0.2270294535747775
3437,1658557572,0.3,9.3952705,2648.0,14.91747572,38.45859551,0.7528444444444444,0.1486801736205104,0.2270294535747775
3438,1658557577,0.3,8.211948307,2648.0,14.91747572,38.45859551,0.7528444444444444,0.1486801736205104,0.2270294535747775
3439,1658557582,0.3,9.204524478,2648.0,14.91747572,38.45859551,0.7687777777777777,0.150264116832698,0.2270901747074501
3440,1658557587,0.3,9.203709241,2648.0,10.16323225,26.04605775,0.7687777777777777,0.150264116832698,0.2270901747074501
3441,1658557592,0.3,7.300724877,2648.0,11.40084722,29.21778405,0.7687777777777777,0.150264116832698,0.2270901747074501
3442,1658557597,0.3,6.625635513,2648.0,14.85137964,38.06071555,0.7954,0.1519986445081513,0.22717809890756
3443,1658557602,0.3,1.188593458,2648.0,14.96631135,30.36404202,0.7954,0.1519986445081513,0.22717809890756
3444,1658557607,0.3,5.366806986,2648.0,14.96631135,30.36404202,0.7954,0.1519986445081513,0.22717809890756
3445,1658557612,0.3,9.518744627,2648.0,14.96631135,30.36404202,0.8048888888888888,0.1537453315481347,0.2273262584712811
3446,1658557617,0.3,14.47040568,2648.0,15.77368215,39.68125387,0.8048888888888888,0.1537453315481347,0.2273262584712811
3447,1658557622,0.3,12.54137422,2648.0,15.77368215,39.68125387,0.8048888888888888,0.1537453315481347,0.2273262584712811
3448,1658557627,0.3,16.141517,2648.0,15.77368215,39.68125387,0.8157555555555555,0.1555276629953936,0.2265251645679317
3449,1658557632,0.3,17.84850494,2648.0,16.27000708,38.38562788,0.8157555555555555,0.1555276629953936,0.2265251645679317
3450,1658557637,0.3,17.70202813,2648.0,12.90116653,30.43756374,0.8157555555555555,0.1555276629953936,0.2265251645679317
3451,1658557642,0.3,16.73579969,2648.0,11.54533261,27.23876142,0.8452444444444445,0.1581242414835453,0.2258394408166603
3452,1658557647,0.3,17.62412718,2648.0,16.16017749,47.83943596,0.8452444444444445,0.1581242414835453,0.2258394408166603
3453,1658557652,0.3,15.19671194,2648.0,16.16017749,47.83943596,0.8452444444444445,0.1581242414835453,0.2258394408166603
3454,1658557657,0.3,13.43777199,2648.0,16.16017749,47.83943596,0.8407777777777777,0.159768165111632,0.2255697782664614
3455,1658557662,0.3,13.81374197,2648.0,15.77537588,39.72474103,0.8407777777777777,0.159768165111632,0.2255697782664614
3456,1658557667,0.3,13.81338851,2648.0,15.77537588,39.72474103,0.8407777777777777,0.159768165111632,0.2255697782664614
3457,1658557672,0.3,14.3729766,2648.0,15.77537588,39.72474103,0.8357777777777777,0.1588997724350226,0.225631045889328
3458,1658557677,0.3,13.31629956,2648.0,10.70818257,26.70645131,0.8357777777777777,0.1588997724350226,0.225631045889328
3459,1658557682,0.3,13.31715586,2648.0,12.03792906,30.02286937,0.8357777777777777,0.1588997724350226,0.225631045889328
3460,1658557687,0.3,12.53865247,2648.0,13.36767556,33.33928742,0.8394222222222221,0.1589666040109109,0.2256826588520998
3461,1658557692,0.3,12.12915528,2648.0,16.44602113,39.07124252,0.8394222222222221,0.1589666040109109,0.2256826588520998
3462,1658557697,0.3,9.498087334,2648.0,16.44602113,39.07124252,0.8394222222222221,0.1589666040109109,0.2256826588520998
3463,1658557702,0.3,8.403235215,2648.0,16.44602113,39.07124252,0.8427555555555555,0.1575453710895372,0.2258708943633847
3464,1658557707,0.3,6.806486692,2648.0,16.57369267,32.72986156,0.8427555555555555,0.1575453710895372,0.2258708943633847
3465,1658557712,0.3,6.806486692,2648.0,16.57369267,32.72986156,0.8427555555555555,0.1575453710895372,0.2258708943633847
3466,1658557717,0.3,7.058693006,2648.0,16.51590175,36.34590555,0.8582000000000001,0.1590671673393553,0.2257764122809462
3467,1658557722,0.3,7.067876627,2648.0,16.73072634,33.62237083,0.8582000000000001,0.1590671673393553,0.2257764122809462
3468,1658557727,0.3,10.54573646,2648.0,16.73072634,33.62237083,0.8582000000000001,0.1590671673393553,0.2257764122809462
3469,1658557732,0.3,12.65023914,2648.0,17.10821551,35.71562351,0.8580888888888889,0.1781279981939146,0.225997133598211
3470,1658557737,0.3,18.12491032,2648.0,17.01576414,34.80448137,0.8580888888888889,0.1781279981939146,0.225997133598211
3471,1658557742,0.3,11.2246678,2648.0,17.01576414,34.80448137,0.8580888888888889,0.1781279981939146,0.225997133598211
3472,1658557747,0.3,12.95137427,2648.0,13.61024801,27.83875114,0.8831777777777777,0.1799556953989741,0.225113823281223
3473,1658557752,0.3,14.48894876,2648.0,17.23243182,40.88990054,0.8831777777777777,0.1799556953989741,0.225113823281223
3474,1658557757,0.3,16.05268652,2648.0,17.23243182,40.88990054,0.8831777777777777,0.1799556953989741,0.225113823281223
3475,1658557762,0.3,16.05268652,2648.0,17.40898761,42.73945711,0.8867777777777777,0.1793058672428433,0.2250951818934926
3476,1658557767,0.3,7.811922594,2648.0,17.6808174,41.0210572,0.8867777777777777,0.1793058672428433,0.2250951818934926
3477,1658557772,0.3,11.4895185,2648.0,17.6808174,41.0210572,0.8867777777777777,0.1793058672428433,0.2250951818934926
3478,1658557777,0.3,17.45045973,2648.0,17.37681469,39.75958882,0.8993111111111111,0.1609499053485478,0.2251921535423706
3479,1658557782,0.3,18.76609425,2648.0,17.37681469,39.75958882,0.8993111111111111,0.1609499053485478,0.2251921535423706
3480,1658557787,0.3,22.85385866,2648.0,17.37681469,39.75958882,0.8993111111111111,0.1609499053485478,0.2251921535423706
3481,1658557792,0.3,22.83671025,2648.0,15.32604578,37.89646022,0.8891111111111111,0.1600791072181916,0.2252571251543303
3482,1658557797,0.3,21.85425094,2648.0,17.86877204,44.18381744,0.8891111111111111,0.1600791072181916,0.2252571251543303
3483,1658557802,0.3,24.96487917,2648.0,17.86877204,44.18381744,0.8891111111111111,0.1600791072181916,0.2252571251543303
3484,1658557807,0.3,18.35972778,2648.0,17.90623843,41.81843346,0.9025777777777778,0.1597262482146393,0.2253466888250224
3485,1658557812,0.3,19.25578204,2648.0,17.85941578,39.84627999,0.9025777777777778,0.1597262482146393,0.2253466888250224
3486,1658557817,0.3,11.22955016,2648.0,17.85941578,39.84627999,0.9025777777777778,0.1597262482146393,0.2253466888250224
3487,1658557822,0.3,8.313239447,2648.0,18.35021697,42.78130924,0.8957333333333334,0.1596037813167578,0.2255382032774717
3488,1658557827,0.3,7.719401821,2648.0,18.35021697,42.78130924,0.8957333333333334,0.1596037813167578,0.2255382032774717
3489,1658557832,0.3,7.180266261,2648.0,18.35021697,42.78130924,0.8957333333333334,0.1596037813167578,0.2255382032774717
